"Designator","Description","LibReference","Footprint","FootprintDescription","Sheet","SourceUniqueId","ItemGUID","ItemRevisionGUID","Layer"
"C14","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","AOMXYSMT","","","BOTTOM"
"C15","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","SEFYALOH","","","BOTTOM"
"C16","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","FZVBVGXI","","","TOP"
"C17","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","JZZBJIQF","","","TOP"
"C18","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","NTVXCCIN","","","BOTTOM"
"C19","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","UKZBPNCC","","","TOP"
"C20","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","YFGNLOFM","","","TOP"
"C21","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","SMMQPHMW","","","BOTTOM"
"C22","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","LGNFAMHZ","","","BOTTOM"
"C23","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","SSTNTUGD","","","BOTTOM"
"C24","CAP, CERM, 330 pF, 50 V, +/- 5%, C0G/NP0, 0603","CMP-0006920-4","0603","","3.ADC","BHHVPHXW","","","TOP"
"C25","CAP, CERM, 0.1 uF, 10 V, +/- 10%, X7R, 0603","CMP-0006862-5","0603","","3.ADC","XOINFUUL","","","TOP"
"C26","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","CMP-0007324-5","0603","","3.ADC","FVELOBWC","","","TOP"
"C27","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","CMP-0007324-5","0603","","3.ADC","WWPIGNMA","","","TOP"
"C28","CAP, CERM, 22 uF, 10 V, +/- 20%, X5R, 0603","CMP-0007324-5","0603","","3.ADC","XHFBTPJH","","","TOP"
